"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RPL22"	1.897508505864e-247	0.546679160352151	0.583	0.295	4.01987176967288e-243	"1"	"RPL22"
"FOXP1"	2.99507326026538e-244	0.595996420414691	0.669	0.365	6.34506270187221e-240	"1"	"FOXP1"
"RACK1"	6.86851252442231e-244	0.402309045214625	0.812	0.545	1.45509437829887e-239	"1"	"RACK1"
"RPL30"	9.96280085783314e-239	0.586831468887563	0.673	0.42	2.11061936173195e-234	"1"	"RPL30"
"RPL31"	1.10599662081949e-236	0.644720335789419	0.66	0.422	2.3430538412061e-232	"1"	"RPL31"
"AES"	8.48174239630752e-236	0.575993886626486	0.729	0.435	1.79685712665775e-231	"1"	"AES"
"RPS18"	2.67859180110889e-231	0.536083437969694	0.668	0.427	5.67459673064919e-227	"1"	"RPS18"
"LRRC75A-AS1"	5.8739827929061e-230	0.560874614436498	0.684	0.394	1.24440325467716e-225	"1"	"LRRC75A-AS1"
"RPL10"	1.59716527459478e-227	0.263151729056465	0.725	0.43	3.38359463422904e-223	"1"	"RPL10"
"RPL34"	5.05224669152801e-224	0.646348998555769	0.628	0.405	1.07031846160021e-219	"1"	"RPL34"
"RPLP2"	8.88647480035972e-220	0.539892828439222	0.625	0.398	1.88259968645621e-215	"1"	"RPLP2"
"IL6ST"	3.77030583979852e-217	0.677242207789295	0.532	0.266	7.98739292161316e-213	"1"	"IL6ST"
"RPL15"	9.41644209432098e-217	0.493144728157607	0.74	0.499	1.9948732576819e-212	"1"	"RPL15"
"ADD3"	8.89159954096247e-213	0.552354936069511	0.674	0.394	1.8836853627529e-208	"1"	"ADD3"
"RPL29"	1.8103950754708e-212	0.481027777864096	0.685	0.424	3.83532196738488e-208	"1"	"RPL29"
"RPS27A"	1.09627805511233e-210	0.520788336334741	0.669	0.426	2.32246505975548e-206	"1"	"RPS27A"
"ACTN1"	1.35171453290629e-210	1.56265225416919	0.343	0.052	2.86360723796197e-206	"1"	"ACTN1"
"SORL1"	3.19507179802224e-210	0.558237755870497	0.589	0.298	6.76875960411011e-206	"1"	"SORL1"
"RPS20"	1.83423913329083e-209	0.433226513693794	0.658	0.415	3.88583560387663e-205	"1"	"RPS20"
"PRKCA"	1.05646882383781e-208	1.23509950488922	0.35	0.077	2.23812920330041e-204	"1"	"PRKCA"
"FCMR"	5.3438802485948e-208	0.480382585691011	0.701	0.422	1.13210103066481e-203	"1"	"FCMR"
"RPL12"	7.43507466425154e-205	0.253088930766796	0.639	0.377	1.57512056762169e-200	"1"	"RPL12"
"EEF2"	1.4660941081176e-203	0.535639626746495	0.719	0.459	3.10592036804713e-199	"1"	"EEF2"
"SATB1"	1.50879350875667e-199	0.769588036688958	0.471	0.18	3.19637904830101e-195	"1"	"SATB1"
"LOC100289511"	4.68868168910332e-198	0.517814870564553	0.705	0.45	9.93297215836539e-194	"1"	"LOC100289511"
"NPM1"	8.37920749839795e-198	0.504811844648066	0.74	0.497	1.77513510853561e-193	"1"	"NPM1"
"RPS25"	1.69776493777453e-197	0.519352547406103	0.641	0.41	3.59671502067535e-193	"1"	"RPS25"
"TESPA1"	2.43121544486034e-191	0.779087171039449	0.503	0.212	5.15052991993664e-187	"1"	"TESPA1"
"GPR183"	2.83879788436301e-191	0.487342448179609	0.604	0.322	6.01399331802303e-187	"1"	"GPR183"
"TMEM63A"	1.58996792588869e-186	0.701059442721196	0.485	0.213	3.36834705099519e-182	"1"	"TMEM63A"
"RPL7A"	2.40258498135213e-184	0.313746933380132	0.746	0.494	5.08987628299449e-180	"1"	"RPL7A"
"RPS14P3"	9.88229330141539e-182	0.276242546086641	0.545	0.318	2.09356383590485e-177	"1"	"RPS14P3"
"RPS16"	8.66056576660862e-181	0.407649911150588	0.653	0.423	1.83474085765604e-176	"1"	"RPS16"
"RPL27A"	4.382064293077e-180	0.436017217990548	0.648	0.421	9.28340320488362e-176	"1"	"RPL27A"
"SRSF5"	2.4485542359608e-176	0.394748651354066	0.775	0.552	5.18726214888294e-172	"1"	"SRSF5"
"CAMK4"	8.02032078476038e-171	0.631292667739864	0.513	0.26	1.69910495825149e-166	"1"	"CAMK4"
"INPP4B"	5.86266935335432e-170	0.507567187474645	0.642	0.386	1.24200650250811e-165	"1"	"INPP4B"
"RPLP1"	1.88661501150817e-169	0.47186661949531	0.653	0.447	3.99679390188006e-165	"1"	"RPLP1"
"TSHZ2"	1.00607992858659e-167	1.02658086974952	0.272	0.054	2.13138032871069e-163	"1"	"TSHZ2"
"C1orf162"	8.68299086279486e-167	0.883785033847097	0.376	0.119	1.83949161428309e-162	"1"	"C1orf162"
"RPL37"	1.18541131970477e-165	0.555344308469624	0.557	0.365	2.51129388079455e-161	"1"	"RPL37"
"RPL23"	3.16991957053597e-165	0.433757409339301	0.602	0.389	6.71547461018045e-161	"1"	"RPL23"
